2025-11-25 14:51:51,541 - INFO - Starting new AI run: unnamed
2025-11-25 14:51:51,542 - INFO - Game controller initialized
2025-11-25 14:51:51,542 - INFO - Game started
2025-11-25 14:52:08,193 - INFO - Starting game in human mode
2025-11-25 14:52:26,467 - INFO - Starting game in astar mode
2025-11-25 14:52:32,881 - INFO - ASTAR found path: length=8, nodes_expanded=8
2025-11-25 14:52:32,919 - INFO - ASTAR found path: length=7, nodes_expanded=7
2025-11-25 14:52:32,957 - INFO - ASTAR found path: length=6, nodes_expanded=6
2025-11-25 14:52:32,994 - INFO - ASTAR found path: length=5, nodes_expanded=5
2025-11-25 14:52:33,032 - INFO - ASTAR found path: length=4, nodes_expanded=4
2025-11-25 14:52:33,069 - INFO - ASTAR found path: length=3, nodes_expanded=3
2025-11-25 14:52:33,106 - INFO - ASTAR found path: length=2, nodes_expanded=2
2025-11-25 14:52:33,144 - INFO - ASTAR found path: length=16, nodes_expanded=29
2025-11-25 14:52:33,182 - INFO - ASTAR found path: length=15, nodes_expanded=28
2025-11-25 14:52:33,219 - INFO - ASTAR found path: length=14, nodes_expanded=26
2025-11-25 14:52:33,257 - INFO - ASTAR found path: length=13, nodes_expanded=24
2025-11-25 14:52:33,294 - INFO - ASTAR found path: length=12, nodes_expanded=22
2025-11-25 14:52:33,331 - INFO - ASTAR found path: length=11, nodes_expanded=20
2025-11-25 14:52:33,369 - INFO - ASTAR found path: length=10, nodes_expanded=18
2025-11-25 14:52:33,406 - INFO - ASTAR found path: length=9, nodes_expanded=16
2025-11-25 14:52:33,444 - INFO - ASTAR found path: length=8, nodes_expanded=14
2025-11-25 14:52:33,482 - INFO - ASTAR found path: length=7, nodes_expanded=12
2025-11-25 14:52:33,519 - INFO - ASTAR found path: length=6, nodes_expanded=10
2025-11-25 14:52:33,557 - INFO - ASTAR found path: length=5, nodes_expanded=8
2025-11-25 14:52:33,594 - INFO - ASTAR found path: length=4, nodes_expanded=6
2025-11-25 14:52:33,632 - INFO - ASTAR found path: length=3, nodes_expanded=4
2025-11-25 14:52:33,669 - INFO - ASTAR found path: length=2, nodes_expanded=2
2025-11-25 14:52:33,707 - INFO - ASTAR found path: length=13, nodes_expanded=24
2025-11-25 14:52:33,744 - INFO - ASTAR found path: length=12, nodes_expanded=22
2025-11-25 14:52:33,782 - INFO - ASTAR found path: length=11, nodes_expanded=20
2025-11-25 14:52:33,821 - INFO - ASTAR found path: length=10, nodes_expanded=18
2025-11-25 14:52:33,859 - INFO - ASTAR found path: length=9, nodes_expanded=16
2025-11-25 14:52:33,897 - INFO - Visualization: ON
2025-11-25 14:52:33,898 - INFO - ASTAR found path: length=8, nodes_expanded=14
